Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg GAP,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2026-03-20 18:32:10,false,"Diemen Running","5,01","323","00:25:03","163","176","3,3","169","175","5:00","4:20","9","7","1,19","7,3","8,9","282","49,9% L / 50,1% R","4:59","--","--","330","0,0","--","327","431","--","--","--","4.214","--","--","-4","--","No","00:00:04,5","6","--","40","34","48","00:25:01","00:25:03","-4","4"
Road Cycling,2026-03-20 11:39:35,false,"Diemen Road Cycling","42,06","956","01:33:06","146","165","3,4","--","--","27,1","40,0","73","76","--","--","--","--","--","--","80","113","157","96,8","165","149","604","7421","--","--","--","--","--","--","12,0","No","00:04:23,9","9","15,0","32","24","41","01:32:57","01:34:36","-4","12"
Road Cycling,2026-03-19 15:11:51,false,"Diemen Road Cycling","40,14","937","01:25:59","150","162","3,8","--","--","28,0","41,8","70","68","--","--","--","--","--","--","78","116","167","101,7","181","159","651","6533","--","--","--","--","--","--","13,0","No","00:00:16,4","9","17,0","33","17","40","01:25:54","01:26:38","-5","9"
Running,2026-03-18 16:27:13,false,"Diemen Running","18,01","1.225","01:33:59","167","187","5,0","166","199","5:13","4:21","43","36","1,15","8,0","9,5","283","49,5% L / 50,5% R","5:13","--","--","330","0,0","--","327","452","--","--","--","15.548","--","--","-16","--","No","00:00:02,2","19","--","40","25","47","01:33:55","01:33:59","-10","6"
Road Cycling,2026-03-15 17:39:20,false,"Diemen Road Cycling","40,02","886","01:25:41","143","160","3,4","--","--","28,0","41,2","77","77","--","--","--","--","--","--","78","110","162","95,3","173","150","569","6501","--","--","--","--","--","--","7,0","No","00:00:03,4","9","18,0","33","25","40","01:25:34","01:26:49","-4","12"
Running,2026-03-14 17:12:50,false,"Diemen Running","11,71","784","01:00:31","163","177","4,4","165","216","5:10","4:06","33","25","1,17","8,1","9,7","285","50,0% L / 50,0% R","5:09","--","--","330","0,0","--","329","455","--","--","--","9.936","--","--","-12","--","No","00:03:30,8","12","--","40","33","51","01:00:27","01:01:09","-7","5"
Running,2026-03-12 19:03:02,false,"Diemen Running","10,10","685","00:54:10","161","175","4,1","164","178","5:22","4:48","75","71","1,14","8,1","9,4","296","49,6% L / 50,4% R","5:19","--","--","325","0,0","--","322","458","--","--","--","8.770","--","--","-10","--","No","00:00:32,2","11","--","37","14","42","00:54:07","00:54:10","-7","12"
Running,2026-03-10 18:38:07,false,"Diemen Running","10,02","681","00:51:53","168","184","4,2","164","191","5:11","3:07","19","16","1,17","7,7","9,2","290","50,3% L / 49,7% R","5:10","--","--","328","0,0","--","321","516","--","--","--","8.444","--","--","-11","--","No","00:00:07,7","11","--","38","17","48","00:51:51","00:51:53","-6","3"
Road Cycling,2026-03-09 15:32:49,false,"Amsterdam Road Cycling","32,17","609","01:22:34","120","168","2,6","--","--","23,4","42,6","64","68","--","--","--","--","--","--","67","116","135","63,2","146","100","765","5174","--","--","--","--","--","--","13,0","No","00:04:41,4","7","18,0","27","18","43","01:22:27","01:23:29","-4","12"
Running,2026-03-08 14:55:41,false,"Diemen Running","18,14","1.162","01:33:13","156","173","4,7","166","196","5:08","3:05","36","35","1,17","8,2","9,9","275","49,5% L / 50,5% R","5:08","--","--","332","0,0","--","330","522","--","--","--","15.356","--","--","-20","--","No","00:00:44,7","19","--","36","17","43","01:33:08","01:33:18","-4","9"
Road Cycling,2026-03-06 16:30:38,false,"Diemen Road Cycling","36,04","118","01:18:08","150","167","3,7","--","--","27,7","40,2","57","62","--","--","--","--","--","--","82","121","17","0,9","3","2","330","6081","--","--","--","--","--","--","14,0","No","00:02:09,3","8","19,0","33","15","39","01:17:57","01:20:18","-4","10"
Running,2026-03-06 11:21:37,false,"Diemen Running","8,01","545","00:42:49","164","178","3,9","164","170","5:21","4:38","21","18","1,14","7,8","9,2","285","49,5% L / 50,5% R","5:22","--","--","308","0,0","--","306","421","--","--","--","6.916","--","--","-10","--","No","00:00:02,1","9","--","38","15","47","00:42:45","00:43:02","-7","5"
Virtual Cycling,2026-03-04 20:35:42,false,"Zwift - Workout 3: Alpecin-Premier Tech Team Camp","40,42","659","01:30:09","134","160","3,3","--","--","26,9","58,3","347","--","--","--","--","--","--","--","93","135","137","0,0","145","127","314","--","--","--","--","--","--","--","--","No","00:00:08","10","--","--","--","--","01:30:03","01:30:08","279","317"
Running,2026-03-03 16:09:23,false,"Diemen Running","8,00","531","00:41:08","161","169","3,9","166","184","5:08","4:28","22","17","1,17","7,7","9,3","287","50,4% L / 49,6% R","5:09","--","--","328","0,0","--","326","414","--","--","--","6.754","--","--","-8","--","No","00:00:01,7","9","--","39","21","47","00:41:06","00:41:08","-5","5"
Virtual Cycling,2026-03-02 21:55:17,false,"Zwift - Endurance Building Blocks on Royal Pump Room 8 in Yorkshire","24,63","476","01:07:21","130","152","3,0","--","--","21,9","79,9","456","--","--","--","--","--","--","--","79","162","131","0,0","143","123","241","--","--","--","--","--","--","--","--","No","00:00:20","26","--","--","--","--","01:07:20","01:07:20","97","183"
Walking,2026-03-01 15:33:25,false,"Diemen Walking","4,85","310","01:23:22","85","118","0,4","25","218","17:12","4:13","30","34","5,99","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","7.060","--","--","-4","--","No","00:14:12","5","--","--","--","--","01:06:45","01:56:25","-7","5"
Running,2026-03-01 12:01:05,false,"Diemen Running","16,01","1.013","01:17:19","167","186","5,0","170","192","4:50","3:04","81","76","1,22","7,2","8,9","275","49,9% L / 50,1% R","4:49","--","--","359","0,0","--","348","529","--","--","--","12.952","--","--","-23","--","No","00:00:03,0","17","--","40","15","51","01:17:15","01:18:08","-4","10"
Running,2026-02-25 12:30:18,false,"Diemen Running","13,01","895","01:08:28","170","180","5,0","166","180","5:16","4:29","22","21","1,15","7,5","8,8","288","49,2% L / 50,8% R","5:16","--","--","314","0,0","--","312","408","--","--","--","11.234","--","--","-17","--","No","00:00:05,6","14","--","38","18","44","01:08:26","01:08:28","-5","4"
Virtual Cycling,2026-02-22 20:30:21,false,"Zwift - Aerobic Foundation Marathon on Classique in London","41,90","603","01:24:00","132","146","3,1","--","--","29,9","42,6","198","--","--","--","--","--","--","--","80","162","128","0,0","134","125","245","--","--","--","--","--","--","--","--","No","00:01:59","9","--","--","--","--","01:23:55","01:23:59","12","26"
Running,2026-02-21 13:36:54,false,"Diemen Running","5,03","340","00:25:31","171","184","3,6","169","177","5:04","4:23","22","12","1,17","8,2","9,6","258","--","5:03","--","--","334","0,0","--","332","433","--","--","--","4.284","--","--","-6","--","No","00:00:10,4","6","--","--","--","--","00:25:29","00:25:31","-8","6"
Virtual Cycling,2026-02-21 11:38:53,false,"Zwift - 2015 on 2015 Worlds Course in Richmond","38,23","629","01:26:33","135","166","3,3","--","--","26,5","65,1","337","--","--","--","--","--","--","--","74","154","139","0,0","150","126","463","--","--","--","--","--","--","--","--","No","00:00:32","18","--","--","--","--","01:26:32","01:26:32","4","65"
Running,2026-02-19 12:34:51,false,"Diemen Running","12,10","810","01:02:56","165","178","4,6","168","185","5:12","3:53","69","62","1,15","7,2","8,5","285","49,3% L / 50,7% R","5:12","--","--","326","0,0","--","321","527","--","--","--","10.420","--","--","-14","--","No","00:00:23,9","13","--","39","15","49","01:02:54","01:02:56","-8","8"
Running,2026-02-15 12:17:55,false,"DiemenCross 2026","7,54","485","00:36:05","169","182","4,4","170","187","4:47","3:52","27","25","1,23","6,5","8,3","276","49,8% L / 50,3% R","4:46","--","--","351","0,0","--","344","492","--","--","--","6.032","--","--","-11","--","No","00:02:41,3","8","--","42","18","50","00:36:03","00:36:05","-5","6"
Running,2026-02-13 18:15:30,false,"Diemen Running","6,43","413","00:32:38","162","172","3,7","168","180","5:05","4:13","22","21","1,17","7,3","8,8","287","50,0% L / 50,0% R","5:04","--","--","324","0,0","--","321","458","--","--","--","5.408","--","--","-12","--","No","00:02:03,9","7","--","38","13","43","00:32:36","00:32:38","-5","4"
Running,2026-02-11 13:34:23,false,"Diemen Running","10,03","661","00:50:25","167","180","4,7","169","195","5:02","2:58","22","16","1,18","7,5","9,1","279","50,2% L / 49,8% R","5:01","--","--","330","0,0","--","328","529","--","--","--","8.418","--","--","-10","--","No","00:00:09,8","11","--","40","18","46","00:50:22","00:50:25","-8","3"
Running,2026-02-08 12:46:02,false,"Diemen Running","11,54","763","00:59:12","164","192","5,0","166","179","5:08","3:25","38","30","1,17","8,3","9,7","261","--","5:07","--","--","331","0,0","--","327","489","--","--","--","9.820","--","--","-15","--","No","00:02:28,2","12","--","--","--","--","00:59:05","00:59:45","-8","11"
Walking,2026-02-07 11:38:03,false,"Diemen Walking","7,40","575","03:17:27","79","111","0,2","26","187","26:43","6:21","27","32","4,07","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","9.120","--","--","-10","--","No","00:10:02","8","--","--","--","--","01:46:37","03:17:27","-4","8"
Running,2026-02-06 14:27:16,false,"Diemen Running","10,01","691","00:51:37","171","182","5,0","167","181","5:09","4:25","28","21","1,16","7,6","9,1","287","49,6% L / 50,4% R","5:09","--","--","338","0,0","--","333","476","--","--","--","8.502","--","--","-11","--","No","00:00:02,3","11","--","40","19","46","00:51:34","00:51:37","-8","3"
Running,2026-02-04 15:46:38,false,"Diemen Running","5,01","336","00:26:18","171","180","3,7","167","178","5:15","4:31","23","9","1,14","7,6","8,9","291","49,5% L / 50,5% R","5:13","--","--","325","0,0","--","318","462","--","--","--","4.356","--","--","-6","--","No","00:00:04,5","6","--","38","21","45","00:26:17","00:26:18","-9","8"
Virtual Cycling,2026-02-04 14:12:13,false,"Zwift - 2x20 FTP Intervals on Queen s Highway in Yorkshire","27,87","492","01:00:48","148","172","3,6","--","--","27,5","57,8","374","--","--","--","--","--","--","--","76","162","151","0,0","170","141","321","--","--","--","--","--","--","--","--","No","00:05:00","5","--","--","--","--","01:00:43","01:00:56","103","133"
Running,2026-02-03 13:46:06,false,"Diemen Running","7,03","441","00:35:59","159","181","4,1","167","185","5:07","3:19","35","31","1,17","7,3","8,8","288","50,1% L / 49,9% R","5:05","--","--","332","0,0","--","324","553","--","--","--","5.938","--","--","-9","--","No","00:00:11,6","8","--","39","19","45","00:35:56","00:36:55","-8","4"
Walking,2026-02-02 12:43:10,false,"Diemen Walking w/ fam","7,18","448","02:18:10","79","114","0,5","59","154","19:15","5:47","42","42","2,52","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","9.798","--","--","-8","--","No","00:04:07,3","8","--","--","--","--","01:35:22","02:40:55","-6","7"
Running,2026-01-31 16:41:42,false,"Diemen Running","12,02","807","01:03:27","163","177","5,0","164","183","5:17","4:09","29","24","1,15","7,6","9,0","288","49,8% L / 50,2% R","5:16","--","--","316","0,0","--","311","430","--","--","--","10.260","--","--","-15","--","No","00:00:05,2","13","--","38","18","45","01:03:24","01:03:27","-6","7"
Virtual Cycling,2026-01-29 22:33:08,false,"Zwift - 2x15 FTP Intervals on Roule Ma Poule in France","20,21","361","00:43:43","--","--","--","--","--","27,7","58,5","154","--","--","--","--","--","--","--","74","86","153","0,0","164","143","307","--","--","--","--","--","--","--","--","No","00:08:42","4","--","--","--","--","00:43:42","00:43:42","10","121"
Running,2026-01-28 15:34:05,false,"Diemen Running","8,08","537","00:41:48","165","173","4,6","167","177","5:10","4:42","26","21","1,15","7,3","8,7","287","50,0% L / 50,0% R","5:10","--","--","317","0,0","--","314","474","--","--","--","6.922","--","--","-10","--","No","00:00:23,8","9","--","39","32","45","00:41:46","00:41:48","-8","5"
Running,2026-01-26 13:36:48,false,"Diemen Running","7,50","507","00:39:06","166","177","4,4","166","177","5:13","4:25","22","17","1,15","7,7","9,2","286","49,5% L / 50,5% R","5:13","--","--","317","0,0","--","315","414","--","--","--","6.444","--","--","-9","--","No","00:02:31,4","8","--","39","32","48","00:39:03","00:39:06","-6","7"
Virtual Cycling,2026-01-20 16:53:34,false,"Zwift - Pushing and Pulling on Avon Flyer in New York","34,86","536","01:19:21","128","159","3,2","--","--","26,4","46,1","250","--","--","--","--","--","--","--","70","145","134","0,0","140","118","302","--","--","--","--","--","--","--","--","No","00:00:21","12","--","--","--","--","01:19:20","01:19:20","60","83"
Running,2026-01-17 12:15:16,false,"Diemen Running","10,23","664","00:49:45","164","184","5,0","169","187","4:52","3:29","35","30","1,21","7,6","9,5","268","50,3% L / 49,7% R","4:52","--","--","348","0,0","--","345","510","--","--","--","8.324","--","--","-16","--","No","00:00:58,7","11","--","39","18","45","00:49:42","00:49:45","-7","6"
Running,2026-01-14 16:24:00,false,"Diemen Running","8,12","547","00:41:55","161","174","4,4","168","178","5:10","4:45","27","12","1,15","7,8","9,2","277","49,5% L / 50,5% R","5:09","--","--","326","0,0","--","323","446","--","--","--","6.938","--","--","-12","--","No","00:00:37,2","9","--","38","15","44","00:41:53","00:41:55","-14","8"
Virtual Cycling,2026-01-09 17:07:20,false,"Zwift - 40/20 s into FTP #1 on Chain Chomper in Makuri Islands","20,24","433","00:55:06","149","170","3,3","--","--","22,0","55,3","341","--","--","--","--","--","--","--","79","99","149","0,0","155","137","389","--","--","--","--","--","--","--","--","No","00:00:09","31","--","--","--","--","00:55:00","00:55:05","68","223"
Running,2026-01-01 13:49:53,false,"São Silvestre dos Pobres 2026 ✅️ ","22,01","1.476","01:59:50","159","170","5,0","167","178","5:27","3:56","91","85","1,10","7,9","9,0","282","49,1% L / 50,9% R","5:26","--","--","316","0,0","--","312","481","--","--","--","19.800","--","--","-22","--","No","00:00:06,3","23","--","37","19","44","01:59:46","01:59:50","-6","10"
Running,2025-12-27 13:12:22,false,"Diemen Running","15,22","1.018","01:19:14","159","174","4,7","168","182","5:12","2:47","41","31","1,15","7,6","9,0","279","49,7% L / 50,3% R","5:12","--","--","318","0,0","--","316","652","--","--","--","13.114","--","--","-18","--","No","00:01:05,1","16","--","37","18","46","01:19:06","01:19:14","-10","9"
Virtual Cycling,2025-12-25 12:58:25,false,"Zwift - 3x20min SST Low on 2019 Worlds Harrogate Circuit in Yorkshire","40,56","772","01:45:35","135","160","3,6","--","--","23,0","79,9","715","--","--","--","--","--","--","--","74","89","137","0,0","157","127","272","--","--","--","--","--","--","--","--","No","00:00:21","9","--","--","--","--","01:45:31","01:46:21","97","183"
Strength Training,2025-12-22 18:13:57,false,"Strength","0,00","84","00:19:10","92","126","0,3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","398","199","20","-1","--","No","00:19:10","1","--","--","--","--","00:09:25,4","00:19:10","--","--"
Strength Training,2025-12-21 13:16:18,false,"Strength","0,00","200","00:31:43","109","154","1,3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","526","263","26","-3","--","No","00:31:43","1","--","--","--","--","00:16:51","00:31:43","--","--"
Virtual Cycling,2025-12-21 11:40:32,false,"Zwift - SST (Med) on Kappa Quest in Makuri Islands","29,48","658","01:25:15","148","165","3,5","--","--","20,7","63,2","495","--","--","--","--","--","--","--","77","98","141","0,0","150","134","324","--","--","--","--","--","--","--","--","No","00:00:14","18","--","--","--","--","01:25:13","01:25:14","101","223"
Walking,2025-12-20 14:32:10,false,"Diemen Walking","3,00","209","01:20:19","71","86","0,1","5","188","26:45","2:53","19","15","8,26","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","3.476","--","--","-5","--","No","00:00:03,6","4","--","--","--","--","00:32:25","01:20:19","-5","5"
Running,2025-12-17 13:44:18,false,"Diemen Running","10,04","640","00:47:48","162","175","4,3","168","182","4:46","4:00","40","33","1,25","7,2","9,3","271","50,4% L / 49,6% R","4:45","--","--","353","0,0","--","351","497","--","--","--","7.942","--","--","-11","--","No","00:00:11,3","11","--","38","28","46","00:47:44","00:47:48","-9","12"
Strength Training,2025-12-15 13:19:45,false,"Strength","0,00","121","00:22:37","101","147","0,6","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","492","246","24","-2","--","No","00:22:37","1","--","--","--","--","00:11:36","00:22:37","--","--"
Virtual Cycling,2025-12-15 11:48:43,false,"Zwift - 2015 on Figure 8 in Watopia","38,92","633","01:26:17","131","161","3,2","--","--","27,1","64,4","333","--","--","--","--","--","--","--","86","138","138","0,0","145","128","452","--","--","--","--","--","--","--","--","No","00:00:16","18","--","--","--","--","01:26:14","01:26:16","-6","58"
Running,2025-12-13 15:11:18,false,"Diemen Running","12,10","787","01:00:37","160","172","4,6","168","177","5:01","3:58","37","28","1,19","7,4","9,1","276","50,1% L / 49,9% R","5:00","--","--","332","0,0","--","330","500","--","--","--","10.056","--","--","-13","--","No","00:00:29,2","13","--","38","30","43","01:00:34","01:00:37","-9","7"
Running,2025-12-11 16:09:54,false,"Diemen Running","11,31","735","00:55:07","164","173","4,7","170","185","4:52","4:00","32","30","1,21","7,3","9,2","272","50,2% L / 49,8% R","4:52","--","--","343","0,0","--","341","452","--","--","--","9.238","--","--","-11","--","No","00:01:28,0","12","--","38","17","44","00:55:05","00:55:07","-5","7"
Running,2025-12-09 12:52:19,false,"Diemen Running","7,24","481","00:36:30","163","171","3,9","167","176","5:02","4:34","23","18","1,19","7,7","9,3","280","50,2% L / 49,8% R","5:03","--","--","336","0,0","--","335","443","--","--","--","6.024","--","--","-7","--","No","00:01:09,4","8","--","37","17","44","00:36:28","00:36:30","-5","4"
Strength Training,2025-12-08 15:01:53,false,"Strength","0,00","121","00:26:00","93","140","0,7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","480","240","24","-2","--","No","00:26:00","1","--","--","--","--","00:14:50","00:26:00","--","--"
Virtual Cycling,2025-12-08 13:56:46,false,"Zwift - 10/8/4min Threshold on Roule Ma Poule in France","25,49","454","01:01:20","138","169","3,1","--","--","24,9","56,9","227","--","--","--","--","--","--","--","82","117","141","0,0","149","129","355","--","--","--","--","--","--","--","--","No","00:00:19","32","--","--","--","--","01:01:16","01:01:19","10","121"
Running,2025-12-07 11:04:30,false,"Diemen Running","11,05","720","00:54:24","166","184","4,9","168","194","4:56","3:17","41","41","1,21","7,3","9,1","278","50,3% L / 49,7% R","4:56","--","--","335","0,0","--","331","558","--","--","--","9.004","--","--","-15","--","No","00:00:14,3","12","--","41","19","48","00:54:20","00:54:29","-5","11"
Walking,2025-12-05 12:51:49,false,"Diemen Walking","1,36","79","00:31:54","57","83","0,1","25","126","23:28","7:28","9","3","12,05","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","2.036","--","--","-2","--","No","00:07:02,8","2","--","--","--","--","00:19:42","00:31:54","-6","1"
Strength Training,2025-12-05 10:15:14,false,"Strength","0,00","162","00:24:05","113","149","1,2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","494","247","24","-3","--","No","00:24:05","1","--","25","20","32","00:13:02","00:24:05","--","--"
Virtual Cycling,2025-12-05 09:30:16,false,"Zwift - Lionel Sanders  Red Day Workout on Hilly Route in Watopia","17,80","313","00:40:26","142","168","3,0","--","--","26,4","61,5","217","--","--","--","--","--","--","--","84","106","146","0,0","159","135","374","--","--","--","--","--","--","--","--","No","00:00:25","4","--","--","--","--","00:40:25","00:40:25","1","58"
Strength Training,2025-12-04 18:33:54,false,"Strength","0,00","142","00:31:40","94","133","0,5","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","470","235","24","-3","--","No","00:31:40","1","--","--","--","--","00:16:25","00:31:40","--","--"
Virtual Cycling,2025-12-02 11:36:08,false,"Zwift - #8 on Figure 8 in Watopia","26,31","392","01:00:29","134","166","3,0","--","--","26,1","67,4","215","--","--","--","--","--","--","--","87","123","136","0,0","134","113","411","--","--","--","--","--","--","--","--","No","00:00:28","23","--","--","--","--","01:00:25","01:00:28","-6","58"
Running,2025-11-30 15:23:10,false,"Diemen Running","17,03","1.132","01:25:41","163","176","5,0","166","178","5:02","3:37","63","61","1,20","7,5","9,3","279","49,9% L / 50,1% R","5:01","--","--","339","0,0","--","337","628","--","--","--","14.090","--","--","-19","--","No","00:00:08,2","18","--","39","19","44","01:25:37","01:25:41","-7","10"
Walking,2025-11-29 12:21:51,false,"Diemen Walking","1,64","105","00:44:41","59","83","0,1","48","158","27:11","4:53","11","5","0,79","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","2.532","--","--","-6","--","No","00:21:50","2","--","--","--","--","00:27:24","01:28:42","-2","6"
Running,2025-11-28 10:59:54,false,"Diemen Running","8,03","488","00:39:58","147","174","3,6","167","189","4:59","3:48","30","26","1,20","7,6","9,4","284","49,5% L / 50,5% R","5:00","--","--","345","0,0","--","343","554","--","--","--","6.594","--","--","-14","--","No","00:00:08,7","9","--","37","20","45","00:39:55","01:00:01","-6","6"
Pool Swim,2025-11-27 20:31:32,false,"Pool Swim","2.000","308","00:46:45","115","143","1,3","--","--","--:--","--","--","--","--","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","--","--","--","--","--","No","00:00:15","12","--","--","--","--","00:42:44","00:47:54","--","--"
Walking,2025-11-27 11:33:53,false,"Diemen Walking","1,61","109","00:36:48","70","93","0,2","33","187","22:50","8:07","9","2","1,68","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","2.100","--","--","-4","--","No","00:18:14","2","--","--","--","--","00:21:29","00:36:48","-2","8"
Virtual Cycling,2025-11-25 21:09:43,false,"Zwift - VO2 Max - 4x3 Ramps on 2018 Worlds Short Lap in Innsbruck","8,94","291","00:41:17","129","160","2,7","--","--","13,0","34,7","329","--","--","--","--","--","--","--","84","165","144","0,0","139","123","594","--","--","--","--","--","--","--","--","No","00:00:10","22","--","--","--","--","00:41:12","00:41:16","280","599"
Running,2025-11-24 18:08:38,false,"Diemen Running","10,05","660","00:51:33","156","170","3,9","168","176","5:08","4:33","53","43","1,16","7,8","9,4","282","50,8% L / 49,2% R","5:07","--","--","337","0,0","--","335","424","--","--","--","8.546","--","--","-9","--","No","00:00:16,0","11","--","37","32","43","00:51:31","00:51:33","-12","10"
Virtual Cycling,2025-11-23 16:57:19,false,"Zwift - 04. Power Surge on Cobbled Climbs in Richmond","17,79","319","00:43:17","142","161","2,9","--","--","24,7","65,1","238","--","--","--","--","--","--","--","91","117","137","0,0","140","128","308","--","--","--","--","--","--","--","--","No","00:00:15","20","--","--","--","--","00:43:09","00:43:16","4","55"
Virtual Cycling,2025-11-22 17:29:09,false,"Zwift - 3/3/2min VO2max on Chain Chomper in Makuri Islands","10,82","216","00:32:17","126","156","2,4","--","--","20,1","53,7","177","--","--","--","--","--","--","--","84","119","138","0,0","132","117","408","--","--","--","--","--","--","--","--","No","00:00:16","14","--","--","--","--","00:32:16","00:32:16","68","223"
Running,2025-11-21 12:45:49,false,"Diemen Running","10,24","703","00:55:25","155","166","3,8","166","177","5:25","4:55","43","34","1,11","8,0","9,1","283","49,3% L / 50,7% R","5:24","--","--","318","0,0","--","315","400","--","--","--","9.142","--","--","-10","--","No","00:01:12,2","11","--","36","18","42","00:55:23","00:55:25","-8","9"
Pool Swim,2025-11-17 10:53:01,false,"Pool Swim - w/ Swimming Bellies crew","2.000","238","00:45:36","99","119","0,4","--","--","2:17","1:58","--","--","--","--","--","--","--","--","--","--","--","0,0","--","--","--","947","46","21","--","--","--","--","--","No","00:00:00,3","3","--","--","--","--","00:45:35","00:52:05","--","--"
Running,2025-11-16 11:47:23,false,"Diemen Running","12,04","830","01:03:47","163","171","4,2","170","178","5:18","4:44","48","42","1,11","7,8","8,8","279","50,1% L / 49,9% R","5:17","--","--","322","0,0","--","320","409","--","--","--","10.710","--","--","-13","--","No","00:00:14,2","13","--","38","18","45","01:03:44","01:03:47","-7","10"
Walking,2025-11-15 16:55:43,false,"Diemen Walking","4,06","252","01:18:35","68","89","0,1","78","156","19:20","5:57","25","18","0,66","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","6.672","--","--","-7","--","No","00:01:31,4","5","--","--","--","--","01:04:09","02:16:20","-6","8"
Running,2025-11-15 09:46:35,false,"Diemen Running","6,30","415","00:30:55","163","174","3,6","173","187","4:55","4:13","27","16","1,18","7,2","8,8","271","50,8% L / 49,2% R","4:54","--","--","352","0,0","--","349","430","--","--","--","5.290","--","--","-7","--","No","00:01:22,2","7","--","38","19","44","00:30:53","00:30:55","-12","6"
Running,2025-11-14 13:21:18,false,"Diemen Running","6,06","421","00:30:55","168","176","3,6","169","179","5:06","4:23","18","15","1,16","7,6","9,0","274","49,7% L / 50,3% R","5:06","--","--","454","0,0","--","360","3.970","--","--","--","5.166","--","--","-8","--","No","00:00:18,8","7","--","38","16","44","00:30:53","00:30:55","-7","6"
Walking,2025-11-12 19:33:56,false,"Diemen Walking","3,66","225","01:04:05","60","91","0,1","91","146","17:32","12:35","12","12","0,63","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","5.728","--","--","-4","--","No","00:12:51","4","--","--","--","--","01:01:20","01:04:05","-3","3"
Walking,2025-11-10 18:46:43,false,"Diemen Walking","3,06","191","00:57:06","68","88","0,1","81","115","18:39","10:57","14","8","0,66","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","4.694","--","--","-6","--","No","00:01:08,8","4","--","--","--","--","00:50:04","00:57:06","-7","4"
Walking,2025-11-09 16:24:58,false,"Diemen Walking","5,43","185","01:35:38","56","82","0,1","86","187","17:36","8:12","19","13","0,66","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","8.320","--","--","-4","--","No","00:06:29,3","6","--","--","--","--","01:24:52","01:35:38","-8","1"
Running,2025-11-08 12:42:19,false,"Diemen - Intervall Session/Speed Work 3x8","11,61","763","01:00:44","159","187","4,2","165","190","5:14","3:13","22","16","1,14","7,3","8,4","274","51,0% L / 49,0% R","5:13","--","--","331","0,0","--","307","523","--","--","--","9.936","--","--","-15","--","No","00:00:02,9","15","--","37","16","48","01:00:41","01:02:24","-6","4"
Strength Training,2025-11-06 19:35:19,false,"Strength","0,00","92","00:29:11","82","123","0,1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","488","244","24","-1","--","No","00:29:11","1","--","--","--","--","00:11:58","00:29:11","--","--"
Walking,2025-11-06 18:28:00,false,"Diemen Walking","2,51","149","00:50:40","66","81","0,1","77","160","20:12","9:01","3","4","0,64","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","3.936","--","--","-2","--","No","00:11:34","3","--","--","--","--","00:46:05","00:50:40","-4","1"
Running,2025-11-05 19:13:13,false,"Amsterdam - Endurance Run","12,01","810","01:03:59","161","173","4,4","167","232","5:20","4:06","33","32","1,13","8,0","9,3","281","49,4% L / 50,6% R","5:19","--","--","316","0,0","--","315","463","--","--","--","10.546","--","--","-12","--","No","00:00:02,5","13","--","39","14","46","01:03:56","01:04:18","-1","7"
Running,2025-11-04 18:27:11,false,"Diemen - Intervall Session/Speed Work 6x4","11,81","797","01:00:18","167","185","4,7","170","186","5:06","3:35","38","40","1,15","7,7","8,9","274","50,0% L / 50,0% R","5:06","--","--","352","0,0","--","337","538","--","--","--","10.116","--","--","-15","--","No","00:00:04,6","24","--","39","20","46","01:00:14","01:00:18","-6","5"
