,Activity Type,Value
2026 Jun,Running,6
2026 Jun,Cycling,9
2026 Jun,Swimming,5
2026 Jul,Running,16
2026 Jul,Cycling,10
2026 Jul,Swimming,10
2026 Jul,Walking,2
2026 Aug,Running,13
2026 Aug,Cycling,14
2026 Aug,Swimming,12
2026 Aug,Walking,1
2026 Sep,Running,5
2026 Sep,Cycling,5
2026 Sep,Swimming,2
