Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg GAP,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Indoor Cycling,2026-06-23 11:22:09,false,"Muscular Endurance - 3 x 15' w/ low cadence [KEY W","52,70","1101",02:06:26,132,157,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Indoor Cycling,2026-06-22 22:49:28,false,"Threshold - 4 x 8' [KEY WORKOUT]","25,11","568",01:00:04,130,149,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Pool Swim,2026-06-22 12:50:01,false,"Pool Swim","1,30","313",00:35:18,132,169,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Indoor Cycling,2026-06-21 17:53:01,false,"Endurance ride","18,81","368",00:45:03,117,127,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Running,2026-06-20 12:07:21,false,"Diemen - Tempo run - Hills [KEY WORKOUT]","11,61","768",01:00:01,159,174,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Pool Swim,2026-06-19 12:33:02,false,"Pool Swim","1,10","244",00:32:33,121,151,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Indoor Cycling,2026-06-18 21:49:18,false,"Sweet spot - 3 x 12' [KEY WORKOUT]","25,83","565",01:02:20,135,160,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Pool Swim,2026-06-17 12:13:03,false,"Pool Swim","2,70","491",01:12:20,119,144,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Indoor Cycling,2026-06-16 20:41:50,false,"Endurance ride w/ spin-ups","25,12","492",01:00:05,125,136,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Running,2026-06-15 20:50:27,false,"Diemen - Endurance run w/ strides (6 x 15","11,31","751",01:00:06,150,172,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Running,2026-06-13 11:42:53,false,"Diemen - VO2max - Short intervals - 20 x","13,03","868",01:07:23,158,180,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Indoor Cycling,2026-06-12 11:38:46,false,"Muscular endurance - 5 x 10' w/ low cadence [KEY W","43,15","919",01:45:07,129,153,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Running,2026-06-11 20:48:21,false,"Diemen - Recovery run","5,24","339",00:30:03,137,148,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Pool Swim,2026-06-11 14:54:10,false,"Pool Swim","2,40","468",01:04:23,125,164,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Indoor Cycling,2026-06-10 12:07:57,false,"Sweet spot - 4 x 8' (cadence spin-ups) [KEY Workou","24,53","533",01:00:08,129,155,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Road Cycling,2026-06-08 13:39:25,false,"Amsterdam Cycling","8,87","144",00:39:00,85,119,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Multisport,2026-06-07 10:24:21,false,"Bonn Road Cycling","63,54","1551",02:26:28,145,169,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Multisport,2026-06-07 09:39:46,false,"Ryzon Bonn Triathlon 2026","83,63","2563",04:27:50,--,179,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
