Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg GAP,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2026-08-25 12:07:33,false,"Diemen - Recovery run","8,42","570",00:45:03,158,169,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Running,2026-08-24 15:15:53,false,"Diemen - Brick run - Race Intensity (70.3","3,16","199",00:15:03,160,176,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Indoor Cycling,2026-08-24 13:26:09,false,"Extensive Endurance - 1 Hour","26,51","530",01:01:01,134,148,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Running,2026-08-23 12:14:16,false,"Diemen - Endurance run [KEY WORKOUT]","16,68","1118",01:32:07,162,175,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Indoor Cycling,2026-08-21 21:00:54,false,"Race intensity (70.3) - 4 x 20' [KEY WORKOUT]","25,18","495",01:00:08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Indoor Cycling,2026-08-21 11:45:31,false,"Race intensity (70.3) - 4 x 20' [KEY WORKOUT]","34,38","696",01:25:06,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Open Water Swimming,2026-08-20 17:45:41,false,"Diemen Open Water Swimming","2,07","411",00:49:22,127,165,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Running,2026-08-19 14:19:23,false,"Diemen - Subthreshold 35'","9,64","631",00:45:15,165,181,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Indoor Cycling,2026-08-19 12:07:10,false,"Tempo Ride 45'","26,17","561",01:00:07,152,168,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Indoor Cycling,2026-08-17 23:02:41,false,"Endurance ride","31,43","571",01:15:09,115,124,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Running,2026-08-16 15:26:04,false,"Diemen Running","11,15","724",00:56:17,156,181,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Virtual Cycling,2026-08-15 10:17:08,false,"Zwift - FTP Test [Standard]","10,65","359",00:45:44,139,179,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Open Water Swimming,2026-08-13 18:52:06,false,"Diemen Open Water Swimming","1,54","274",00:40:25,116,135,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Running,2026-08-13 13:02:14,false,"Diemen - Endurance run w/ strides (4 x 15","10,04","688",00:52:38,157,171,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Pool Swim,2026-08-12 13:14:27,false,"Pool Swim","1,60","364",00:40:21,130,150,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Virtual Cycling,2026-08-11 21:14:26,false,"Zwift - 2015","33,86","526",01:26:22,117,140,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Running,2026-08-11 11:56:18,false,"Diemen - Recovery run","5,80","385",00:30:55,152,166,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Open Water Swimming,2026-08-10 18:30:31,false,"Diemen Open Water Swimming","1,38","243",00:41:10,110,127,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Virtual Cycling,2026-08-10 12:17:36,false,"Zwift - Anaerobic Hammer Session","14,23","249",00:45:21,132,164,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Indoor Cycling,2026-08-09 19:12:12,false,"Hills + Extensive Endurance [KEY WORKOUT]","35,71","761",01:30:06,131,163,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Walking,2026-08-08 13:57:32,false,"Diemen Walking","6,54","401",01:46:20,83,123,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Running,2026-08-08 09:26:43,false,"Diemen - Subthreshold 45' - Hills [KEY WO","15,53","994",01:15:02,158,174,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Running,2026-08-06 18:52:47,false,"Diemen - Endurance run w/ strides (4 x 15","5,63","370",00:30:04,146,163,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Road Cycling,2026-08-06 12:02:06,false,"Diemen Cycling","7,15","147",00:38:38,87,118,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Open Water Swimming,2026-08-04 11:46:47,false,"Santa Marinella Open Water Swimming","0,83","206",00:25:29,121,160,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Open Water Swimming,2026-08-04 09:50:58,false,"Santa Marinella Open Water Swimming","1,12","237",00:32:28,117,131,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Running,2026-08-03 18:32:36,false,"Santa Marinella Running","7,02","470",00:35:43,159,180,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Open Water Swimming,2026-08-03 11:43:29,false,"Santa Marinella Open Water Swimming w/ Luan","1,08","306",00:30:03,134,151,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Open Water Swimming,2026-08-03 09:33:46,false,"Santa Marinella Open Water Swimming","1,03","260",00:28:22,129,144,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Open Water Swimming,2026-08-02 11:51:21,false,"Santa Marinella Open Water Swimming","1,01","222",00:45:08,100,126,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Open Water Swimming,2026-08-01 10:58:03,false,"Santa Marinella Open Water Swimming","0,84","195",00:23:10,123,143,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Running,2026-08-01 08:18:38,false,"Santa Marinella - Subthreshold 40' - Hills [KEY WO","7,06","491",00:36:13,163,186,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Running,2026-07-31 06:50:31,false,"Rome - Brick run Z2","8,04","555",00:44:48,151,174,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
